"Time","SpO2","MCAv","HR"
-99.4412836,98.59375,45.6015625,74.05471039
-98.5712836,98.46875,45.54616928,76.00972748
-97.7562836,98.28125,46.929245,74.98615265
-96.9762836,98.5,46.32003021,71.75408936
-96.1812836,98.25,45.82143021,66.77902222
-95.3462836,98.5,44.76570892,62.28373718
-94.3862836,98.46875,45.26810074,60.82770157
-93.4312836,98.46875,45.26810074,60.76542282
-92.4812836,98.59375,44.15400696,65.11500549
-91.4562836,98.59375,46.24464417,68.3631897
-90.5262836000001,98.3125,46.62861252,69.70911407
-89.6512836000001,98.34375,47.03925323,73.41540527
-88.8362836,98.28125,46.48559189,76.39093018
-86.4012836000001,98.5625,47.31492996,66.46811676
-85.5862836,98.4375,45.73138046,85.32946014
-84.6662836,98.46875,45.26343918,59.6158905
-83.7112836,98.5,45.26343918,61.59286499
-82.7112836,97.59375,45.81062317,64.32281494
-81.7312836,97.34375,45.54032135,64.08229065
-80.7912836,97.5625,45.40960312,68.24333191
-79.8562836,97.59375,44.80392456,72.22779083
-79.0112836,97.3125,47.18317032,74.1491394
-78.1812836,97.34375,47.71816635,72.62660217
-77.3212836,97.5,47.61446381,69.25603485
-76.5112836,97.5625,46.47311783,64.24707794
-75.6412836,97.4375,46.10546875,58.17241669
-74.7062836,97.40625,46.10546875,58.25853729
-73.6812836,97.5,45.08070374,60.04004669
-72.6462835999999,97.46875,45.38394928,61.91462326
-71.6462835999999,97.46875,45.52585602,62.56322479
-70.7262836,97.53125,44.52539063,68.62216187
-69.7612836,97.4375,47.24523544,73.17706299
-68.8762836,97.25,49.16226578,72.71237946
-68.0162836,97.5625,49.44978333,69.96653748
-67.1962836,97.25,47.67856979,60.24520493
-66.3362836,97.5,47.67856979,76.18750763
-65.3462836,97.3125,46.09697723,56.72875977
-64.2862836,97.59375,46.03240204,57.44932556
-63.2362836,97.375,45.94281006,57.9148407
-62.1912836,97.59375,45.88265991,59.57178879
-61.1612836,97.34375,45.59984589,60.99846649
-60.1412836,97.5,45.99730301,66.87892914
-59.2012836,97.40625,47.87407684,71.54823303
-58.2962836,98.46875,49.24646759,70.5998764
-57.4162836,98.4375,50.20586014,94.36360931
-56.5662836,98.625,48.8632431,57.4498024
-55.6812836,98.34375,48.8632431,53.51814651
-54.6412836,98.28125,47.65210342,55.35544586
-53.5162836,98.375,46.85055161,212.8550568
-52.4312836,98.5,46.69579315,80.26930237
-51.3612836,98.34375,47.22365952,61.64146042
-50.3362836,98.375,46.26829529,62.3910408
-49.3562836,97.46875,44.56734848,69.07430267
-48.3962835999999,97.46875,45.29439926,73.22054291
-47.5512836,98.5,47.20302963,72.09514618
-46.7162836,98.4375,48.53289413,103.0772476
-45.8812836,98.28125,46.57087708,60.97146225
-45.0312836000001,98.4375,45.52200699,57.14907837
-44.0562836,98.375,45.52200699,57.99776459
-43.0062836,98.5625,44.37867737,82.31724548
-41.9712836,98.4375,44.75793076,61.42539978
-40.9712836,98.4375,43.53235626,68.4617691
-40.0212835999999,98.59375,45.0286293,71.38694
-39.1162836,98.5,46.68015671,71.5446167
-38.2812836000001,98.25,46.64798737,68.80825043
-37.4412836,97.25,45.50825882,62.17668533
-36.5662836,97.5,44.00104523,57.34094238
-35.6012836,97.21875,44.00104523,59.5789032
-34.5562836,97.59375,44.59375,61.27363205
-33.5462836,97.34375,44.43205261,63.35378647
-32.5762836,97.25,43.49146271,66.46212769
-31.6212836,97.59375,43.54948044,108.7880096
-30.7012836,97.53125,45.63973999,73.55050659
-29.8712836,98.34375,47.58545685,74.46790314
-29.0612836,98.53125,47.6607132,71.10154724
-28.2512836,98.5,45.52561188,61.34831619
-27.4112836,98.5625,44.75,56.71367264
-26.4462836,98.4375,44.75,58.04651642
-25.3912836,98.34375,44.76592636,59.32712173
-24.3462836,98.4375,44.7501564,63.08787918
-23.3412836,98.5625,44.44986725,64.45314789
-22.3912836,98.28125,43.70924759,70.39768219
-21.4562836,98.28125,44.57668686,73.80102539
-18.9912836,98.28125,44.31874847,64.41871643
-18.1512836000001,98.3125,42.69852066,59.02851868
-17.2262836,98.5,42.69852066,58.70500183
-16.2112836,98.53125,42.27895355,59.14852905
-15.1762836,98.28125,42.1394577,59.98550797
-14.1712836,98.53125,42.73671722,61.37382126
-13.1712836,98.5625,42.54378128,66.71405029
-12.1962836,98.5625,43.43462372,73.26663208
-11.2812836000001,98.4375,45.03321457,74.71098328
-10.4762836,98.53125,46.25857544,72.52767181
-9.66628360000004,98.5,45.9777298,101.0236664
-8.84628359999999,98.28125,45.40807724,88.40756226
-7.98628359999998,98.5625,44.33840942,59.9507637
-7.04128360000004,98.40625,44.33840942,61.78312683
-6.06128360000002,98.34375,44.06664658,62.21949768
-5.06628360000002,97.53125,45.65307617,65.87996674
-4.11128359999998,97.28125,45.56176758,69.46027374
-3.20128360000001,97.53125,45.83269882,72.68023682
-2.33128360000001,97.5625,46.21002579,78.03694916
-1.49628359999997,97.34375,47.13982391,77.19403076
-0.741283599999974,97.375,46.00060654,76.17362213
0.0387160000000222,97.53125,44.82214355,69.26641083
0.838715999999977,97.5,42.54155731,63.73762131
1.69371599999999,97.59375,41.32930374,60.4366188
2.62871600000005,97.5625,41.32930374,60.00137329
3.63871600000004,97.5,41.43314743,61.89336014
4.63371600000005,97.25,41.42847824,65.86624146
5.59871599999997,97.5625,42.58407974,66.61963654
6.51871600000004,97.53125,42.7737999,69.33782196
7.40371600000003,97.34375,43.53431702,74.83482361
8.27371600000004,97.25,44.10529327,76.72523499
9.08871599999998,97.375,46.81539917,78.13409424
9.86371599999995,97.53125,47.97996902,76.54433441
10.6287160000001,97.5,46.31127167,67.07557678
11.408716,97.34375,45.21369934,60.63993835
12.293716,97.5625,45.21369934,56.50984955
13.283716,97.3125,44.36910248,59.14480591
14.348716,98.4375,43.92095566,61.63158417
15.358716,98.5625,44.6662941,64.44313049
16.343716,98.46875,44.70861053,64.24421692
17.273716,97.3125,44.79440689,70.60493469
18.168716,97.4375,46.67433167,75.17501831
19.063716,98.5,48.69187927,76.3677597
19.843716,98.28125,48.81814575,71.84175873
20.643716,97.3125,46.95127869,88.36008453
21.478716,97.65625,45.86963272,85.44792175
22.408716,97.5,45.86963272,58.98166656
23.393716,97.34375,44.30056381,59.09682465
24.3987159999999,98.53125,43.91326141,62.02936172
25.4187159999999,98.21875,44.20954895,65.43965149
26.383716,97.59375,46.02640152,69.77085876
27.308716,97.34375,46.39905167,74.18301392
28.173716,97.40625,45.78460693,77.16817474
28.9887160000001,97.3125,48.27491379,81.33239746
29.758716,97.5625,49.85208511,79.96313477
30.4937159999999,97.4375,48.69090652,75.23680878
31.233716,97.4375,46.97882462,65.37283325
32.038716,97.53125,46.16243744,61.0412674
32.9587160000001,97.5,46.16243744,60.00589371
33.9387160000001,97.3125,45.22265625,61.80826569
34.9387160000001,97.34375,45.25531387,63.48210907
35.9087159999999,97.34375,46.04262924,65.53946686
36.8637160000001,97.5625,46.85198212,72.77792358
37.7737159999999,97.375,46.22970963,77.48616791
38.5637160000001,97.3125,47.57727051,81.40576935
39.3637160000001,97.34375,49.82334137,82.23145294
40.1187159999999,97.46875,49.5041275,74.62522125
40.8337160000001,97.5,45.46086502,55.61930466
41.643716,97.3125,45.46086502,79.65206146
42.713716,97.53125,44.57069016,59.16902924
45.7387160000001,97.375,43.78807068,63.17645645
46.7187160000001,97.40625,43.62911224,68.21878815
47.6687159999999,97.28125,43.12868881,74.10417938
48.558716,97.375,44.435112,75.6109314
49.3637160000001,97.34375,46.1619873,75.21868134
50.1487159999999,97.25,45.85123444,103.1618652
50.9387160000001,97.4375,43.42555618,62.15404129
51.768716,97.59375,43.42555618,59.55457687
52.733716,97.25,42.10024643,61.30747986
53.7437159999999,97.53125,41.55965805,62.14217377
54.7287160000001,97.5625,41.80895615,64.19809723
55.693716,97.3125,42.00537491,65.5792923
56.6287159999999,97.3125,42.69186783,66.98873901
57.5437159999999,97.5,40.00813675,70.46917725
58.4487160000001,97.46875,41.45568085,72.99932098
59.2937159999999,97.25,42.49646759,70.75810242
60.1137160000001,97.53125,41.5959816,65.83245087
60.9587160000001,97.28125,40.38646317,60.38165665
61.8687159999999,97.28125,40.38646317,56.74879074
62.8637160000001,97.4375,40.50890732,58.87146759
63.9187159999999,97.25,39.609375,58.93098831
64.943716,98.34375,40.28140259,60.49362946
65.9587160000001,98.25,41.00248718,63.98004532
66.9487160000001,98.34375,41.77444839,70.58483887
67.893716,98.28125,42.82840729,71.92570496
68.7487160000001,98.4375,45.01731873,108.3115997
69.5737160000001,98.28125,44.6361351,66.96080017
70.393716,98.53125,41.67356491,52.67377472
71.338716,98.59375,41.67356491,54.95355606
72.4287159999999,98.375,40.52193069,210.6656036
73.528716,98.34375,40.50747681,59.17240906
74.578716,98.625,40.71067047,59.68824005
75.588716,98.375,40.90345001,61.13449478
76.598716,98.1875,40.87168503,65.14219666
77.5837160000001,98.3125,43.25458908,67.51553345
78.5037159999999,98.28125,45.74541092,98.60437012
79.383716,98.28125,45.37319946,87.96535492
80.268716,98.5,45.37319946,75.99434662
81.2187160000001,98.5,43.89553833,217.4190674
82.278716,98.28125,43.04276276,221.4616394
83.3337160000001,98.34375,43.56204605,59.27464294
84.3687159999999,98.34375,43.28509903,62.76635742
85.3887159999999,98.5,42.97454834,65.97006989
86.348716,98.4375,45.08718872,65.74900818
87.258716,98.46875,46.16368103,64.57113647
88.1587159999999,98.28125,45.1746788,85.72198486
89.088716,98.28125,45.1746788,77.5404129
90.058716,98.5,44.3821907,56.74078369
91.1137160000001,98.40625,43.41706085,58.06027222
92.1687159999999,98.28125,42.65363312,59.08377075
93.2537159999999,98.4375,43.29862976,61.88198471
94.2187160000001,98.46875,43.66127396,66.4887085
95.1987160000001,98.3125,45.89674759,69.65084839
96.1037160000001,98.25,47.2038269,99.37402344
96.963716,98.59375,46.24210739,83.58848572
97.8887159999999,99.28125,46.05302048,79.75070953
98.808716,99.25,46.05302048,57.3080864
99.848716,99.25,44.45166397,59.9490509
100.933716,99.5,45.29187012,66.7559433
101.898716,99.40625,47.00134277,73.28542328
102.793716,99.3125,47.46395874,73.88816833
103.623716,99.25,48.13053894,74.99336243
104.423716,99.3125,48.7522583,71.82069397
105.228716,99.5625,48.20792007,67.13002777
106.048716,99.25,46.94681549,80.16866302
106.948716,99.5625,46.94681549,58.10760117
107.968716,99.25,45.20833206,210.8179474
109.003716,99.53125,45.59587479,60.72829437
110.028716,99.5625,45.86624908,65.89891815
111.023716,99.34375,47.67671204,105.8353577
113.663716,99.34375,49.06359863,80.1993866
114.573716,99.59375,49.06359863,55.29094315
115.568716,99.25,47.66661835,57.16014862
116.653716,99.625,45.23837662,58.85335541
117.708716,99.5,46.41711426,59.32324982
118.733716,99.59375,44.62308502,65.33843994
119.753716,99.25,49.10329437,69.00026703
120.668716,99.5,53.39734268,98.39195251
121.533716,99.5625,53.39734268,69.17806244
122.423716,99.4375,46.38899612,55.49679565
123.553716,99.25,49.16594315,210.4197083
124.633716,99.28125,49.4706955,56.91189575
125.683716,99.34375,48.29298782,60.93981934
126.688716,99.34375,47.81728363,92.44691467
127.683716,99.3125,49.39323044,66.46125031
128.643716,99.28125,49.48083115,85.7576828
129.488716,99.375,49.48083115,53.35041428
130.523716,99.25,49.96681976,55.9678688
131.643716,99.3125,44.97154236,209.965332
132.718716,99.5,49.08490753,59.21899033
133.763716,99.3125,47.65473175,64.5550766
134.738716,99.1875,46.9119606,67.23040771
135.673716,99.25,53.22383499,99.76902008
136.553716,99.28125,53.22383499,92.13119507
137.483716,99.1875,50.42526627,70.46868134
138.403716,99.28125,50.42526627,57.08386993
139.528716,99.5,46.09514618,58.3650589
140.593716,99.34375,50.30529022,60.77442551
141.568716,99.5625,51.91698074,62.20708466
142.563716,99.21875,45.68867874,72.05605316
143.538716,99.3125,48.88999176,76.94582367
144.368716,99.5,51.5785408,81.28575134
145.133716,99.34375,52.6067543,123.5705338
145.873716,99.40625,50.93321609,69.04299164
146.618716,99.28125,48.38816452,60.27066803
147.478716,99.46875,48.38816452,62.19070816
148.473716,99.40625,49.78762817,66.75125885
149.443716,99.25,50.49534988,70.86743927
150.343716,99.5,50.91871262,71.64375305
151.193716,99.4375,52.0992775,76.71403503
152.043716,99.25,53.97367477,79.57683563
152.818716,99.375,57.3286438,78.66596222
153.563716,99.25,57.0228157,112.1578445
154.333716,99.34375,52.3421936,79.73988342
155.148716,99.28125,52.3421936,55.76005554
156.173716,99.28125,51.61065292,56.94365692
157.258716,99.34375,48.70933151,60.08906174
158.308716,99.25,49.50417709,60.96198654
159.318716,99.46875,49.05277252,67.38846588
160.303716,99.4375,50.94363403,73.56610107
161.203716,99.3125,53.92061234,109.0396652
162.018716,99.375,55.45076752,97.80659485
162.838716,99.34375,54.4942627,54.41691208
163.728716,99.53125,54.4942627,53.76908112
164.828716,99.25,49.43899536,211.1254425
165.943716,99.4375,51.26674271,210.9133301
167.058716,99.4375,51.61832428,57.3139801
168.153716,99.53125,51.44493484,60.84621811
169.208716,99.5,52.63457108,68.10199738
170.203716,99.375,55.22224426,70.74475098
171.088716,99.53125,56.98796844,67.80178833
171.978716,99.5,54.5716629,57.37299728
172.858716,99.5,54.5716629,51.9391098
173.898716,99.5,52.09713364,53.26647568
175.053716,99.25,50.77176285,56.62502289
176.168716,99.46875,51.39416122,81.45063019
177.238716,99.3125,51.26010895,63.49917984
178.258716,99.53125,51.56104279,70.58931732
179.173716,99.21875,57.21351624,73.52748108
180.058716,99.59375,56.98176956,103.3520203
183.778716,99.5625,50.46569443,57.29669571
184.848716,99.40625,54.51607895,59.36194229
185.908716,99.40625,49.88017654,60.71866608
186.913716,99.53125,51.95451736,63.17187881
187.908716,99.4375,50.96541977,71.95038605
188.813716,99.28125,53.1205368,112.8853607
189.698716,99.5625,53.94284058,108.2447662
190.503716,99.3125,54.27788544,87.65322876
191.323716,99.53125,52.5153656,71.07848358
192.268716,99.40625,52.5153656,55.07771301
193.368716,99.40625,48.63233566,56.33626175
194.458716,99.59375,49.91824722,78.00045013
195.528716,99.40625,49.55709076,59.96147156
196.518716,99.25,49.07903671,65.76929474
197.538716,99.53125,51.72798157,101.308197
198.438716,99.28125,52.91631317,96.72666168
199.308716,99.5,51.84049988,79.72545624
200.203716,99.59375,51.84049988,53.36135101
201.273716,99.40625,50.35644531,56.70544052
202.378716,99.5,51.00423431,58.43650436
203.448716,99.3125,52.87735748,59.68632889
204.473716,99.375,51.89949799,61.2212677
205.433716,99.40625,51.22182465,103.3249893
206.423716,99.25,56.7313118,108.4446487
207.283716,99.53125,56.7313118,94.66139984
208.173716,99.4375,56.51528168,72.00531769
209.088716,99.28125,52.56093597,50.83767319
210.188716,99.53125,48.97625732,209.0000763
211.363716,99.59375,50.67758179,224.2941284
212.513716,99.3125,49.55805588,208.9158478
213.608716,99.25,49.96448898,59.59523392
214.633716,99.34375,48.78940964,92.36334229
215.648716,99.28125,54.16129303,65.46643829
216.613716,99.5625,54.16129303,83.62030029
217.528716,99.25,50.22929382,64.23488617
218.528716,99.25,49.06632233,213.1040497
219.738716,99.40625,49.78554535,200.3132629
220.913716,99.25,51.33783722,215.6677704
222.068716,99.5625,47.42981339,214.7363892
223.173716,99.5625,49.12049484,62.97463226
224.238716,99.40625,52.31352997,97.92351532
225.208716,99.25,54.73464203,100.0256958
226.093716,99.53125,56.1302948,80.4259491
226.973716,99.59375,56.1302948,53.58650208
227.998716,99.5,51.9943428,54.74202347
229.123716,99.4375,50.69449234,208.4774323
230.218716,99.28125,50.42946243,59.99066925
