"Time","VE","PO2","PCO2"
-90.8262836,13.37162971,88.47429657,40.5113678
-81.1012836,15.15664387,89.69396973,40.64499664
-71.6812836,17.39318275,92.53987885,39.35325623
-63.7462836,11.34291935,94.97923279,38.44012833
-51.5912836,14.3290596,94.97923279,39.46461105
-41.9912836,14.78702545,94.16611481,39.01918411
-32.8862836,14.62727833,93.55627441,39.30871201
-23.1662836,15.45628834,94.77594757,39.24189758
-14.2562836,16.38808632,95.58906555,39.08599854
-5.66628360000004,13.59801769,94.16611481,39.10827255
4.50871600000005,11.74333954,91.32020569,39.06372452
16.228716,15.07517242,88.88085938,39.5759697
26.6887160000001,14.23276424,90.50708771,39.95458221
36.893716,15.50717354,93.14971161,39.42007065
46.3887159999999,14.87695599,93.35299683,38.81874084
56.2937159999999,17.9664917,182.3891144,38.7073822
65.9687160000001,21.60837746,271.4252319,38.01697159
75.4187159999999,26.60613632,302.3236084,38.685112
83.883716,29.09889603,321.025238,39.97685242
92.798716,34.74311829,339.7268982,40.533638
100.703716,30.3469944,352.940033,40.68954086
109.488716,36.64904022,358.2252808,41.40222549
117.743716,40.30294037,361.071167,41.4244957
125.183716,38.94456482,362.6973877,40.71181107
132.943716,37.84956741,357.615448,41.60266495
141.733716,46.87116623,357.0055847,42.40443802
149.333716,47.77384949,354.159729,42.29308319
157.118716,34.71582031,353.5498657,41.44676971
167.973716,43.25026321,349.687561,42.6939621
176.303716,38.82925415,344.8088684,43.2730217
186.078716,38.43429947,346.4350891,42.3376236
194.873716,36.10625076,343.792511,42.80532455
203.798716,34.30235291,342.5728149,42.22626495
213.308716,34.46656418,342.7760925,41.64721298
222.278716,39.09943008,343.1826477,41.75857162
230.323716,39.56443024,343.1826477,41.86992264
238.343716,37.23064041,343.1826477,40.95679855
246.713716,43.60503387,342.1662598,42.04809189
253.268716,32.31427383,341.7596741,43.22847748
261.848716,43.84070206,341.7596741,44.60930634
268.933716,39.1518631,341.556427,44.43113708
277.888716,38.89153671,343.1826477,43.36211014
286.198716,42.33260727,343.5891724,43.60709381
293.688716,45.90816116,344.1990356,43.89662552
300.578716,43.8859024,343.792511,43.62936401
307.728716,46.60089493,342.7760925,44.07479095
314.948716,45.01929474,344.8088684,44.29751205
322.483716,42.32672119,342.5728149,44.03024673
330.373716,38.82038116,342.3695374,43.31756592
338.073716,44.00500107,340.9465637,44.18614578
345.153716,43.55028915,341.556427,44.67612076
352.033716,46.92960358,340.5400391,44.34204865
358.768716,43.58439255,341.7596741,43.54027939
365.303716,45.66366959,341.556427,43.54027939
372.123716,42.03289032,342.7760925,43.76299667
379.598716,47.69456482,343.1826477,42.51579666
386.388716,44.08138657,341.7596741,43.38438034
393.958716,41.29916382,341.9629517,43.76299667
401.258716,51.41992188,340.7433167,44.74293518
408.008716,43.95670319,342.7760925,44.03024673
415.998716,43.06803131,343.792511,43.07257843
423.933716,43.24840927,343.9957581,44.27523422
432.648716,58.82352066,342.9793701,45.43334579
439.888716,46.6558876,343.792511,45.366539
448.313716,43.81794357,343.792511,45.74514771
456.708716,43.41937256,341.9629517,47.14824677
465.233716,56.40949631,341.9629517,46.74736023
471.818716,48.01015854,342.7760925,45.85650635
479.243716,46.86774445,343.792511,45.14382172
486.743716,51.531147,343.1826477,45.43334579
494.828716,53.60482788,345.2154236,46.12376404
502.203716,45.61344147,345.4187317,45.32199478
510.823716,49.84891129,344.6055908,45.92332077
518.308716,69.15216827,343.1826477,46.12376404
524.133716,50.63453293,346.4350891,45.29972458
532.143716,49.81242752,345.8252258,45.47789001
541.258716,52.76008987,345.4187317,46.25739288
549.448716,62.67917252,343.1826477,46.48010635
556.923716,52.01032257,346.4350891,46.05694962
564.603716,55.77178192,344.4023132,45.65606308
572.128716,51.7675705,344.1990356,45.29972458
579.778716,49.19587708,342.3695374,45.92332077
587.078716,53.31099319,343.5891724,46.65827942
594.198716,1.546874166,345.2154236,45.56697464
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
